PAGOS,MONTO,COMUNA,REGION,URBANIDAD,FPAGO,TIPOBENEFICIO,COBROMARZO,SEXO,ECIVIL,NACIONALIDAD,NOCOBRO
1,2592,304,10,2,1,17,0,2,5,0,1
1,6619,330,14,2,3,16,1,1,1,0,1
1,7484,320,2,2,3,16,0,1,1,0,0
1,4357,63,5,2,1,1,0,2,1,0,1
1,4791,300,11,2,3,16,0,2,5,0,0
1,2915,63,5,2,1,1,1,1,1,0,1
1,8876,336,11,2,3,16,0,1,5,0,1
1,5158,300,11,2,3,14,0,1,5,0,0
1,5158,27,7,2,3,14,0,2,5,0,1
2,8789,78,11,2,1,16,0,1,1,0,0
1,5158,11,1,2,3,14,0,1,5,0,0
1,5063,290,4,2,3,16,0,1,1,0,1
1,4296,58,4,2,3,16,1,1,1,0,1
1,7008,300,11,2,3,16,0,2,1,0,1
1,7084,16,0,2,3,16,0,1,5,0,0
1,6385,120,11,2,1,16,0,1,1,0,1
1,908,26,14,1,1,17,1,2,1,0,1
1,7906,307,6,2,3,16,0,1,5,0,1
1,8607,271,11,2,3,16,0,1,1,0,0
1,7806,321,14,2,3,16,0,2,1,0,0
1,7799,157,11,2,3,16,0,1,5,0,0
1,7856,220,11,2,3,16,0,2,1,0,1
1,7800,58,4,2,3,16,0,1,1,0,0
1,3262,128,11,2,1,17,0,2,1,0,0
1,5745,300,11,2,3,16,0,2,1,0,1
1,5059,180,7,2,1,16,0,1,1,0,0
1,5158,81,14,1,3,14,0,1,1,0,0
2,7543,336,11,2,3,16,0,1,1,0,1
1,4996,300,11,2,3,16,0,1,5,0,0
1,434,105,5,1,3,16,0,1,1,0,1
1,7982,59,11,2,1,16,0,1,1,0,0
1,5158,307,6,2,3,14,0,2,1,0,1
1,7804,118,14,1,3,16,1,1,5,0,1
1,5063,39,15,2,3,16,0,1,5,0,0
1,8425,59,11,2,1,16,0,1,1,0,0
1,7806,249,11,2,3,16,0,2,1,0,0
1,5525,327,14,2,3,14,0,1,1,0,0
1,7806,181,5,2,3,16,0,2,1,0,0
1,7532,249,11,2,3,16,0,2,5,0,1
2,8443,115,11,2,3,16,0,1,5,0,0
1,5158,166,11,2,3,14,0,1,1,0,1
1,8406,106,11,2,3,16,0,1,1,0,1
1,5158,138,11,2,3,14,1,2,5,0,0
1,8088,194,11,2,3,16,0,1,1,0,0
1,5483,115,11,2,3,16,0,2,1,0,1
1,7630,249,11,2,3,16,0,1,1,0,0
2,8140,276,14,2,1,16,0,1,5,0,1
1,8007,327,14,2,3,16,0,1,1,0,0
1,8261,271,11,2,1,16,0,1,1,0,0
1,5057,11,1,2,1,16,0,1,1,0,0
1,7856,147,4,2,3,16,0,1,5,0,0
1,5158,128,11,2,3,14,0,1,1,0,0
1,5002,11,1,2,3,16,0,1,5,0,1
1,5002,327,14,2,3,16,1,1,5,0,0
1,7856,300,11,2,3,16,0,1,5,0,0
1,5063,300,11,2,3,16,0,1,1,0,0
1,5158,78,11,2,3,14,0,1,5,0,0
1,5743,336,11,2,3,16,0,1,1,0,1
1,5158,252,12,2,3,14,0,1,5,0,0
2,8543,307,6,2,3,16,0,1,1,0,0
1,7856,106,11,2,3,16,0,1,1,0,0
1,7806,106,11,2,3,16,1,1,1,0,0
1,8908,336,11,2,1,16,1,2,1,0,1
1,5158,100,4,2,3,14,0,2,1,0,0
1,5158,328,6,2,4,14,0,2,1,0,1
1,8845,313,0,1,5,16,0,1,1,0,0
2,8387,58,4,2,3,16,0,1,1,0,1
1,4415,58,4,2,3,16,0,1,1,0,0
1,4896,68,6,1,1,16,1,2,1,0,0
1,8853,128,11,2,1,16,0,1,5,0,0
1,7856,300,11,2,3,16,0,2,3,0,0
1,5745,133,14,2,3,16,0,2,1,0,1
1,4625,128,11,2,3,16,0,1,5,0,1
2,3694,121,5,2,3,16,1,1,5,0,0
1,7657,285,11,2,3,16,1,1,5,0,1
1,5002,304,10,2,3,16,0,1,1,0,0
1,2380,128,11,2,1,16,1,2,1,0,0
1,7806,300,11,2,3,16,0,1,5,0,1
1,2934,336,11,2,1,16,1,1,3,0,0
1,5057,271,11,2,3,16,0,1,1,0,1
1,8576,329,11,2,1,16,0,1,1,0,0
1,318,180,7,2,1,17,1,1,1,0,1
1,5158,244,15,1,3,14,0,1,1,0,0
1,8769,336,11,2,3,16,0,1,1,0,0
1,7806,157,11,2,3,16,0,2,1,0,0
1,8323,220,11,2,3,16,0,2,1,0,1
1,2150,304,10,2,1,17,0,2,1,0,1
1,6804,5,7,1,3,16,0,1,1,0,0
2,8868,327,14,2,3,16,0,1,1,0,0
1,7073,336,11,2,1,16,0,2,1,0,0
1,7954,245,14,2,3,16,0,1,5,0,0
1,5483,11,1,2,3,16,0,1,5,0,0
1,7558,216,11,2,3,16,0,1,5,0,0
1,5136,327,14,2,3,14,0,2,1,0,0
1,5136,336,11,2,3,14,1,1,1,0,1
1,5652,186,11,2,1,16,1,2,1,0,1
1,3492,330,14,2,3,7,0,1,5,0,0
1,4452,257,11,2,3,16,0,1,1,0,1
1,1461,128,11,2,3,7,1,1,1,0,0
1,6931,300,11,2,1,16,0,1,1,0,0
2,7907,330,14,2,3,16,0,2,5,0,0
1,7725,115,11,2,1,16,0,1,5,0,0
1,8294,330,14,2,3,16,0,2,1,0,1
1,7946,315,4,2,3,16,0,2,1,0,1
1,8643,120,11,2,1,16,0,1,5,0,0
1,7789,128,11,2,3,16,0,2,5,0,0
1,8926,112,11,2,3,16,0,1,5,0,0
1,7850,333,15,1,5,16,0,1,1,0,0
1,7856,59,11,2,3,16,0,1,5,0,1
1,5158,281,11,2,3,14,0,1,5,0,0
1,5483,74,10,2,3,16,0,1,1,0,0
1,7806,121,5,2,3,16,0,2,1,0,0
1,318,324,5,1,1,17,1,2,1,0,1
1,6975,85,11,2,3,16,0,2,1,0,0
1,7263,277,12,2,1,16,0,2,1,0,0
1,7850,285,11,2,3,16,0,1,1,0,0
1,4606,128,11,2,3,16,0,1,1,0,1
1,7044,300,11,2,1,16,0,2,1,0,1
1,3784,138,11,2,3,7,0,1,1,0,0
1,5477,121,5,2,3,16,0,1,5,0,1
1,5057,321,14,2,3,16,0,1,1,0,1
1,318,278,12,1,1,17,0,2,5,0,1
1,7806,74,10,2,3,16,0,1,5,0,0
1,8598,246,14,2,3,16,0,1,1,0,0
1,7720,155,11,2,3,16,0,1,1,0,1
1,7806,10,4,1,3,16,1,1,1,0,0
1,5158,107,13,2,3,14,0,1,5,0,1
1,8395,249,11,2,1,16,0,2,1,0,0
1,5057,330,14,2,3,16,0,1,5,0,0
1,1718,169,4,1,1,17,1,2,1,0,1
1,5158,319,8,2,3,14,0,1,1,0,1
1,5483,10,4,1,3,16,0,2,1,0,1
1,6740,220,11,2,1,16,0,2,1,0,0
1,7806,271,11,2,3,16,0,1,5,0,0
1,8547,216,11,2,3,16,0,1,1,0,1
1,5057,330,14,2,3,16,0,1,5,0,0
1,4980,128,11,2,1,16,0,2,5,0,1
1,318,26,14,1,1,17,0,2,1,0,1
1,8807,304,10,2,3,16,0,1,5,0,0
2,9153,128,11,2,1,16,0,1,1,0,0
2,9125,106,11,2,3,16,0,1,5,0,0
1,8065,285,11,2,3,16,0,2,1,0,0
1,7856,285,11,2,3,16,0,1,1,0,0
1,7739,285,11,2,3,16,0,2,1,0,0
1,8787,303,11,2,3,16,0,2,1,0,0
1,3825,242,11,2,5,9,0,1,1,0,1
1,7555,213,15,0,1,16,0,2,1,0,1
1,8010,330,14,2,3,16,0,1,1,0,0
1,4350,37,4,2,3,16,1,1,1,0,1
1,4493,245,14,2,3,16,1,1,1,0,1
1,7737,252,12,2,3,16,0,1,1,0,0
1,5136,27,7,2,4,14,0,2,1,0,1
1,7856,7,6,2,3,16,0,1,5,0,1
1,5158,180,7,2,3,14,0,2,1,0,0
1,4814,32,11,2,3,14,0,2,1,0,0
1,5483,224,9,1,5,16,0,2,5,0,0
1,7806,249,11,2,1,16,0,2,1,0,0
1,7471,85,11,2,1,16,0,1,1,0,0
1,4827,128,11,2,1,16,1,1,1,0,0
1,8946,223,7,2,3,16,0,1,1,0,0
1,2692,329,11,2,1,16,0,2,5,0,1
1,8418,85,11,2,1,16,0,2,1,0,0
1,7856,319,8,2,3,16,0,1,1,0,0
1,8710,300,11,2,3,16,0,1,1,0,0
2,9016,336,11,2,1,16,0,2,1,0,0
1,8412,39,15,2,1,16,0,1,5,0,0
1,8287,16,0,2,3,16,0,2,1,0,0
1,67,252,12,2,1,17,1,1,1,0,0
1,5158,300,11,2,3,14,0,2,5,0,0
1,5745,336,11,2,3,16,0,1,1,0,0
1,7032,285,11,2,1,16,0,1,1,0,0
1,8499,216,11,2,3,16,1,2,1,0,0
1,3683,104,11,2,1,16,0,1,5,0,1
1,7856,336,11,2,3,16,0,1,1,0,0
1,8523,116,11,2,1,16,0,2,5,0,0
1,8564,12,11,2,3,16,0,1,1,0,0
1,5136,71,4,1,3,14,0,2,1,0,0
1,7819,252,12,2,3,16,1,2,5,0,0
1,5158,95,6,1,5,14,0,2,1,0,0
1,7806,169,4,1,3,16,0,2,5,0,0
1,5158,283,11,1,5,14,1,1,5,0,0
1,2331,330,14,2,1,16,1,2,5,0,0
1,5136,246,14,2,3,14,0,1,1,0,0
1,7806,11,1,2,3,16,0,1,5,0,0
1,5422,271,11,2,3,16,1,1,1,0,0
1,8112,121,5,2,1,16,0,2,1,0,0
1,3548,236,7,0,5,16,0,2,5,0,0
1,6985,106,11,2,3,16,0,1,5,0,0
1,5483,271,11,2,3,16,0,2,1,0,0
1,7806,74,10,2,3,16,0,2,1,0,0
1,318,330,14,2,1,17,1,1,1,0,1
1,9055,336,11,2,1,16,0,2,1,0,0
1,5136,74,10,2,4,14,0,2,5,0,1
1,8122,300,11,2,3,16,0,1,5,0,0
1,7856,39,15,2,3,16,0,1,5,0,0
1,5136,12,11,2,3,14,0,1,1,0,1
1,7856,300,11,2,3,16,0,1,1,0,1
1,5738,281,11,2,1,16,1,1,5,0,1
1,4732,321,14,2,3,16,0,1,1,0,1
1,7856,180,7,2,3,16,0,1,5,0,1
1,5030,152,4,2,3,16,0,1,1,0,0
1,7856,170,4,1,3,16,0,2,1,0,0
1,7806,297,12,1,3,16,0,2,1,0,0
2,8297,300,11,2,3,16,0,1,1,0,0
1,8728,336,11,2,3,16,0,1,1,0,1
1,8202,166,11,2,3,14,0,2,1,0,1
1,7802,85,11,2,3,16,0,1,1,0,0
1,7961,216,11,2,3,16,0,1,1,0,0
2,8117,220,11,2,3,16,0,1,5,0,0
1,5158,300,11,2,3,14,0,1,5,0,0
1,5136,271,11,2,3,14,0,1,3,0,0
1,166,134,10,2,1,17,1,1,1,0,1
1,5063,300,11,2,3,16,0,1,5,0,0
1,7800,285,11,2,3,16,0,1,1,0,0
1,6847,106,11,2,3,16,0,1,1,0,0
1,8013,307,6,2,1,16,0,1,5,0,0
1,8534,329,11,2,1,16,0,1,1,0,0
1,5685,157,11,2,3,16,0,1,1,0,1
2,8802,39,15,2,3,16,0,1,1,0,1
3,9150,216,11,2,1,16,0,1,1,0,0
2,8605,319,8,2,1,16,0,1,1,0,0
2,8930,128,11,2,1,16,0,1,1,0,1
1,7856,59,11,2,3,16,0,1,5,0,0
1,7473,285,11,2,3,16,0,1,1,0,0
1,5136,115,11,2,3,14,0,2,5,0,0
1,8326,336,11,2,3,16,1,1,1,0,0
1,684,128,11,2,1,17,0,2,1,0,1
1,5993,157,11,2,3,14,0,1,5,0,0
1,5158,307,6,2,3,14,0,2,5,0,1
1,5002,58,4,2,1,16,0,1,5,0,0
1,5136,271,11,2,3,14,0,2,5,0,0
1,3601,4,13,2,3,7,1,1,5,0,1
1,8256,336,11,2,1,16,0,1,1,0,0
1,5483,249,11,2,3,16,0,2,5,0,0
1,7806,336,11,2,3,16,0,1,1,0,0
1,5158,319,8,2,3,14,0,1,1,0,0
1,5745,74,10,2,3,16,1,1,1,0,0
1,8497,300,11,2,3,16,0,1,1,0,0
2,8682,111,14,2,3,16,0,1,1,0,0
1,5158,155,11,2,3,14,1,1,1,0,0
1,5158,300,11,2,3,14,0,2,1,0,0
1,6883,230,9,2,3,16,0,2,1,0,1
1,8185,220,11,2,1,16,0,1,1,0,0
1,7806,146,14,2,3,16,0,1,1,0,0
1,8236,300,11,2,3,16,0,1,5,0,0
1,5483,271,11,2,3,16,0,1,1,0,0
1,7806,111,14,2,3,16,0,2,1,0,0
1,7806,58,4,2,3,16,0,2,1,0,1
1,5483,300,11,2,3,16,0,1,5,0,0
1,7667,285,11,2,3,16,0,2,1,0,0
1,5158,330,14,2,3,14,0,2,1,0,1
1,7850,74,10,2,3,16,1,1,5,0,0
1,8862,304,10,2,1,16,0,2,1,0,0
1,5704,139,11,2,3,14,0,1,3,0,0
1,5061,330,14,2,3,16,0,1,1,0,1
1,5158,11,1,2,3,14,0,2,5,0,0
1,7806,0,14,1,5,16,0,1,1,0,0
1,4988,297,12,1,3,16,1,1,5,0,0
1,3936,257,11,2,1,16,0,1,1,0,0
2,8398,300,11,2,3,16,1,1,1,0,0
1,7806,106,11,2,3,16,0,1,5,0,0
1,5158,216,11,2,3,14,0,1,1,0,0
1,5063,216,11,2,3,16,0,1,5,0,1
1,2396,150,6,0,3,13,1,2,1,0,1
1,5158,112,11,2,3,14,0,1,1,0,0
1,3641,155,11,2,1,16,0,1,1,0,0
1,8313,258,12,2,3,16,0,2,5,0,1
1,8136,223,7,2,3,16,0,1,1,0,0
1,6702,8,0,2,3,14,0,1,1,0,0
1,7806,285,11,2,3,16,0,1,1,0,1
1,342,316,6,1,1,17,0,1,5,0,1
1,5158,252,12,2,3,14,1,1,5,0,0
1,8582,121,5,2,1,16,0,1,1,0,0
1,9073,336,11,2,1,16,0,1,1,0,0
1,7806,285,11,2,3,16,0,1,1,0,0
1,8278,128,11,2,3,16,0,1,1,0,0
1,7806,270,14,2,3,16,0,1,1,0,1
1,6945,128,11,2,1,16,0,2,1,0,0
2,8717,336,11,2,1,16,0,1,5,0,0
1,4607,270,14,2,3,16,1,1,1,0,1
1,8266,106,11,2,3,16,0,1,1,0,1
1,5158,112,11,2,3,14,0,1,1,0,0
1,5483,133,14,2,3,16,1,1,1,0,1
1,7856,115,11,2,3,16,0,1,1,0,0
1,8130,121,5,2,3,16,0,1,1,0,1
1,7542,16,0,2,3,16,0,1,1,0,0
1,7613,252,12,2,3,16,0,1,5,0,0
1,7806,58,4,2,3,16,0,1,1,0,0
1,8202,307,6,2,3,14,0,1,5,0,1
1,5737,219,11,2,1,16,0,1,5,0,0
1,7768,304,10,2,3,16,0,1,1,0,0
1,6806,12,11,2,3,16,0,2,1,0,0
1,7856,116,11,2,3,16,0,2,1,0,1
1,7856,304,10,2,3,16,0,1,1,0,0
2,9071,58,4,2,3,16,1,1,1,0,1
1,2087,134,10,2,1,17,1,2,1,0,1
1,5158,330,14,2,3,14,0,2,5,0,0
1,5136,107,13,2,3,14,0,1,5,0,1
1,5158,330,14,2,3,14,0,1,5,0,0
1,8202,128,11,2,3,14,0,1,1,0,1
1,8109,285,11,2,3,16,1,1,1,0,0
1,8864,285,11,2,3,16,0,1,1,0,0
1,7856,59,11,2,3,16,0,1,1,0,1
1,5158,32,11,2,3,14,1,2,1,0,0
1,7856,300,11,2,3,16,0,1,1,0,0
1,5158,216,11,2,3,14,0,2,1,0,0
1,7856,300,11,2,3,16,0,1,5,0,0
1,5136,155,11,2,3,14,1,1,1,0,0
1,5738,205,11,2,3,16,0,1,1,0,1
1,2843,290,4,2,3,7,0,1,1,0,0
1,8298,300,11,2,1,16,1,2,5,0,0
1,7642,78,11,2,3,16,0,1,1,0,0
2,8922,85,11,2,1,16,0,1,1,0,0
1,5158,245,14,2,3,14,0,2,1,0,1
2,8399,62,2,2,3,16,0,1,5,0,0
1,5365,258,12,2,3,16,0,1,1,0,0
1,5158,8,0,2,3,14,0,1,5,0,1
1,5136,62,2,2,3,14,0,1,5,0,0
1,7806,157,11,2,3,16,0,1,1,0,1
1,7800,152,4,2,3,16,0,1,1,0,0
1,5158,30,4,1,3,14,0,1,5,0,0
1,8401,216,11,2,1,16,1,1,5,0,0
1,6867,285,11,2,3,16,0,2,1,0,0
3,9157,128,11,2,3,16,1,2,1,0,0
